,datetime,open,open_spread,unreal_pnl,nav,sum_cf
7407,2023-08-17 16:00:00,1889.454,1889.579,-9500.04,2386.88,10886.92
7408,2023-08-17 16:30:00,1890.701,1890.826,-9375.34,2511.58,10886.92
7409,2023-08-17 17:00:00,1888.367,1888.492,-9608.74,2278.18,10886.92
7410,2023-08-17 17:30:00,1886.007,1886.132,-9844.73,2042.18,10886.92
7411,2023-08-17 18:00:00,1886.167,1886.292,-9828.74,2058.18,10886.92
7412,2023-08-17 18:30:00,1886.502,1886.627,-9795.24,2091.68,10886.92
7413,2023-08-17 19:00:00,1886.617,1886.742,-9783.74,2103.18,10886.92
7414,2023-08-17 19:30:00,1888.614,1888.739,-9584.03,2302.88,10886.92
7415,2023-08-17 20:00:00,1889.037,1889.162,-9541.73,2345.18,10886.92
7416,2023-08-17 20:30:00,1888.746,1888.871,-9570.83,2316.08,10886.92
7417,2023-08-17 22:00:00,1889.519,1889.644,-9493.53,2393.38,10886.92
7418,2023-08-17 22:30:00,1889.627,1889.752,-9482.74,2404.18,10886.92
7419,2023-08-17 23:00:00,1889.867,1889.992,-9458.74,2428.18,10886.92
7420,2023-08-17 23:30:00,1890.291,1890.416,-9416.34,2470.58,10886.92
7421,2023-08-18 00:00:00,1891.269,1891.394,-9318.53,2568.38,10886.92
7422,2023-08-18 00:30:00,1891.654,1891.779,-9280.03,2606.88,10886.92
7423,2023-08-18 01:00:00,1893.352,1893.477,-9110.23,2776.68,10886.92
7424,2023-08-18 01:30:00,1894.554,1894.679,-8990.03,2896.88,10886.92
7425,2023-08-18 02:00:00,1893.559,1893.684,-9089.54,2797.38,10886.92
7426,2023-08-18 02:30:00,1893.887,1894.012,-9056.74,2830.18,10886.92
7427,2023-08-18 03:00:00,1893.174,1893.299,-9128.04,2758.88,10886.92
7428,2023-08-18 03:30:00,1892.103,1892.228,-9235.13,2651.78,10886.92
7429,2023-08-18 04:00:00,1892.712,1892.837,-9174.23,2712.68,10886.92
7430,2023-08-18 04:30:00,1892.122,1892.247,-9233.23,2653.68,10886.92
7431,2023-08-18 05:00:00,1892.181,1892.306,-9227.33,2659.58,10886.92
7432,2023-08-18 05:30:00,1892.217,1892.342,-9223.73,2663.18,10886.92
7433,2023-08-18 06:00:00,1893.678,1893.803,-9077.63,2809.28,10886.92
7434,2023-08-18 06:30:00,1892.755,1892.88,-9169.93,2716.98,10886.92
7435,2023-08-18 07:00:00,1892.128,1892.253,-9232.64,2654.28,10886.92
7436,2023-08-18 07:30:00,1892.706,1892.831,-9174.84,2712.08,10886.92
7437,2023-08-18 08:00:00,1892.567,1892.692,-9188.74,2698.18,10886.92
7438,2023-08-18 08:30:00,1892.431,1892.556,-9202.33,2684.58,10886.92
7439,2023-08-18 09:00:00,1892.024,1892.149,-9243.04,2643.88,10886.92
7440,2023-08-18 09:30:00,1891.771,1891.896,-9268.34,2618.58,10886.92
7441,2023-08-18 10:00:00,1892.743,1892.868,-9171.14,2715.78,10886.92
7442,2023-08-18 10:30:00,1895.438,1895.563,-8901.63,2985.28,10886.92
7443,2023-08-18 11:00:00,1894.24,1894.365,-9021.43,2865.48,10886.92
7444,2023-08-18 11:30:00,1894.009,1894.134,-9044.53,2842.38,10886.92
7445,2023-08-18 12:00:00,1893.758,1893.883,-9069.63,2817.28,10886.92
7446,2023-08-18 12:30:00,1889.978,1890.103,-9447.63,2439.28,10886.92
7447,2023-08-18 13:00:00,1890.244,1890.369,-9421.04,2465.88,10886.92
7448,2023-08-18 13:30:00,1894.383,1894.508,-9007.13,2879.78,10886.92
7449,2023-08-18 14:00:00,1893.842,1893.967,-9061.23,2825.68,10886.92
7450,2023-08-18 14:30:00,1893.597,1893.722,-9085.74,2801.18,10886.92
7451,2023-08-18 15:00:00,1893.608,1893.733,-9084.64,2802.28,10886.92
7452,2023-08-18 15:30:00,1892.545,1892.67,-9190.93,2695.98,10886.92
7453,2023-08-18 16:00:00,1891.213,1891.338,-9324.14,2562.78,10886.92
7454,2023-08-18 16:30:00,1890.679,1890.804,-9377.53,2509.38,10886.92
7455,2023-08-18 17:00:00,1889.548,1889.673,-9490.64,2396.28,10886.92
7456,2023-08-18 17:30:00,1887.336,1887.461,-9711.83,2175.08,10886.92
7457,2023-08-18 18:00:00,1888.955,1889.08,-9549.94,2336.98,10886.92
7458,2023-08-18 18:30:00,1888.248,1888.373,-9620.63,2266.28,10886.92
7459,2023-08-18 19:00:00,1888.466,1888.591,-9598.84,2288.08,10886.92
7460,2023-08-18 19:30:00,1888.285,1888.41,-9616.93,2269.98,10886.92
7461,2023-08-18 20:00:00,1889.248,1889.373,-9520.63,2366.28,10886.92
7462,2023-08-18 20:30:00,1888.746,1888.871,-9570.83,2316.08,10886.92
7463,2023-08-20 22:00:00,1889.395,1889.52,-9505.94,2380.98,10886.92
7464,2023-08-20 22:30:00,1890.356,1890.481,-9409.84,2477.08,10886.92
7465,2023-08-20 23:00:00,1890.341,1890.466,-9411.34,2475.58,10886.92
7466,2023-08-20 23:30:00,1889.385,1889.51,-9506.94,2379.98,10886.92
